City,Date,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed
Lebu,1583576034,-37.62,-73.65,57.92,85,83,8.03
Hasaki,1583576034,35.73,140.83,46.4,65,75,6.93
Saldanha,1583576034,-33.01,17.94,84.2,39,0,8.05
Hermanus,1583576035,-34.42,19.23,80.01,74,0,5.99
Punta Arenas,1583576035,-53.15,-70.92,44.6,93,40,11.41
Tautira,1583576036,-17.73,-149.15,80.6,78,20,4.7
Kununurra,1583576036,-15.77,128.73,91.4,49,88,6.93
Jinchang,1583576037,38.5,102.17,46.58,21,0,7.63
Rikitea,1583576038,-23.12,-134.97,76.78,89,100,18.25
Venice of the Philippines,1583576038,4.66,119.39,82.74,76,100,9.91
Bluff,1583575955,-46.6,168.33,57.99,96,100,7.0
Okhotsk,1583576039,59.38,143.3,-5.62,95,0,1.32
Mataura,1583576039,-46.19,168.86,57.99,96,100,7.0
Poya,1583576039,-21.35,165.15,82.63,78,80,9.4
Atuona,1583576039,-9.8,-139.03,81.72,69,0,10.47
Zyryanka,1583575925,65.75,150.85,-7.67,84,0,8.28
Hong Kong,1583575937,22.29,114.16,78.01,73,40,6.93
George Town,1583576040,5.41,100.34,89.6,62,20,5.82
Vaini,1583576040,-21.2,-175.2,75.2,83,75,3.36
Nipawin,1583576040,53.37,-104.0,21.2,73,75,25.28
Foshan,1583576040,23.03,113.13,75.0,78,75,2.24
Ushuaia,1583575850,-54.8,-68.3,46.4,93,90,18.34
Prabumulih,1583576042,-3.45,104.25,89.53,60,95,5.01
Walvis Bay,1583576042,-22.96,14.51,78.8,61,0,5.82
Edéa,1583576042,3.8,10.13,86.0,84,75,4.7
Aswān,1583576042,24.09,32.91,74.14,24,0,10.58
Orsk,1583576042,51.2,58.57,23.0,57,0,11.18
Kamaishi,1583576043,39.27,141.88,41.0,52,40,2.24
Ixtapa,1583576043,20.7,-105.2,71.01,94,75,5.82
Lloydminster,1583576043,53.28,-110.0,10.4,72,90,11.41
Saint George,1583576043,37.1,-113.58,53.6,40,1,6.93
Lüderitz,1583576044,-26.65,15.16,91.4,41,0,2.24
Saint-Philippe,1583576044,-21.36,55.77,82.4,78,40,15.32
Busselton,1583576044,-33.65,115.33,75.99,43,49,17.58
Katsuura,1583575745,35.13,140.3,48.99,66,75,10.29
Itaueira,1583576044,-7.6,-43.03,71.33,98,100,8.41
Oroville,1583575836,39.51,-121.56,53.6,71,90,19.46
Anagé,1583576045,-14.61,-41.14,69.12,98,77,0.65
Port Alfred,1583576045,-33.59,26.89,75.99,76,0,4.0
Sangmélima,1583576046,2.93,11.98,81.34,67,100,3.06
Albany,1583575777,42.6,-73.97,30.99,63,1,6.93
Yellowknife,1583576046,62.46,-114.35,-23.01,74,5,3.36
Price,1583576046,39.6,-110.81,37.99,55,1,3.36
Cherskiy,1583576047,68.75,161.3,-8.32,88,9,6.6
Nantucket,1583576047,41.28,-70.1,32.0,94,90,43.62
Saskylakh,1583576047,71.92,114.08,-35.16,94,41,12.03
Cockburn Town,1583576047,21.46,-71.14,76.8,78,54,7.54
Ţahţā,1583576048,26.77,31.5,68.7,38,0,6.31
Xai-Xai,1583576048,-25.05,33.64,84.52,50,2,12.17
Khatanga,1583576048,71.97,102.5,-30.6,96,94,8.77
Banjar,1583576048,-8.19,114.97,80.78,80,78,4.72
Philadelphia,1583575882,39.95,-75.16,37.99,92,90,8.05
Comodoro Rivadavia,1583575804,-45.87,-67.5,57.2,50,0,34.45
Vardø,1583576049,70.37,31.11,32.67,85,100,17.65
San Rafael,1583575907,-34.62,-68.33,74.8,45,0,9.73
Chokurdakh,1583576050,70.63,147.92,-10.95,75,0,5.68
Olinda,1583576050,-8.01,-34.86,84.2,74,40,4.7
Aktau,1583576050,43.65,51.2,51.8,17,99,26.84
Hilo,1583576050,19.73,-155.09,68.0,88,75,3.36
Sinnamary,1583576051,5.38,-52.95,79.97,75,89,15.75
Springbok,1583576051,-29.66,17.89,89.53,19,27,7.81
Dzerzhinsk,1583576051,56.24,43.46,42.8,75,75,6.71
Sørland,1583576051,67.67,12.69,41.0,75,40,17.22
Nome,1583575821,64.5,-165.41,-7.6,91,90,1.99
Port Elizabeth,1583575852,-33.92,25.57,87.8,52,0,6.93
Qaanaaq,1583576052,77.48,-69.36,-25.96,60,6,5.37
Faanui,1583576052,-16.48,-151.75,83.8,67,95,4.43
Upernavik,1583576053,72.79,-56.15,-25.8,98,91,5.19
Sangar,1583576053,63.92,127.47,12.81,93,100,9.44
Gushikawa,1583576054,26.35,127.87,69.8,82,90,4.7
Boa Vista,1583576006,2.82,-60.67,77.0,69,92,10.29
Isangel,1583576054,-19.55,169.27,80.6,83,20,5.82
Novo Aripuanã,1583576054,-5.12,-60.38,72.93,97,79,1.88
Barrow,1583576054,71.29,-156.79,-0.4,84,90,6.93
Ayagoz,1583576055,47.97,80.44,2.17,88,100,15.19
Teterow,1583576055,53.78,12.57,44.01,81,75,17.22
Hobart,1583575950,-42.88,147.33,55.4,62,75,8.05
Jurm,1583576055,36.86,70.83,25.56,76,99,10.4
Carson City,1583576056,39.16,-119.77,53.01,34,75,20.8
Clarksburg,1583576056,39.28,-80.34,33.8,92,90,6.93
George Town,1583576040,5.41,100.34,89.6,62,20,5.82
Kalininsk,1583576056,51.5,44.48,42.73,59,100,19.17
Nikolskoye,1583576057,59.7,30.79,39.0,81,100,6.71
Kontagora,1583576057,10.4,5.47,92.7,7,71,6.98
Miyako,1583576057,39.64,141.95,35.51,60,26,4.43
Alugan,1583576057,12.22,125.48,80.06,87,100,7.34
Severnyy-Kospashskiy,1583576057,59.09,57.8,24.01,78,100,5.01
Tura,1583576058,25.52,90.22,72.59,72,100,6.24
Maidenhead,1583575977,51.52,-0.72,46.99,75,90,12.75
Cam Ranh,1583576058,11.92,109.16,86.0,62,20,8.05
Lavrentiya,1583576058,65.58,-171.0,5.92,92,100,5.55
Beswān,1583576058,27.65,77.88,78.04,36,25,2.37
Kavieng,1583576059,-2.57,150.8,84.18,76,100,13.6
Castro,1583576059,-24.79,-50.01,56.34,96,67,3.24
Nanortalik,1583576059,60.14,-45.24,28.78,70,100,4.54
Gorontalo,1583576059,0.54,123.06,77.86,86,100,2.37
Cape Town,1583575837,-33.93,18.42,82.99,73,20,6.93
Puerto Ayora,1583576060,-0.74,-90.35,75.99,100,0,2.84
Ancud,1583576060,-41.87,-73.82,46.4,100,100,4.7
Oxapampa,1583576060,-10.58,-75.4,49.87,95,82,4.27
Jamestown,1583575922,42.1,-79.24,30.2,85,90,8.05
Mvuma,1583576061,-19.28,30.53,63.37,80,100,10.69
Wagar,1583576061,16.15,36.2,99.45,12,7,13.4
Sitka,1583576061,57.05,-135.33,28.4,79,1,7.05
Geraldton,1583576061,-28.77,114.6,75.2,64,0,18.34
Bakchar,1583576061,57.02,82.07,9.52,81,61,10.51
Asău,1583576062,46.43,26.4,59.0,58,40,4.7
Buchanan,1583576062,5.88,-10.05,84.51,71,100,3.36
New Norfolk,1583576062,-42.78,147.06,55.4,62,75,8.05
Caravelas,1583576062,-17.71,-39.25,76.55,88,100,13.53
Sarangani,1583576062,5.4,125.46,83.14,69,100,4.76
Flinders,1583576063,-34.58,150.86,66.99,88,40,4.7
Zeya,1583576063,53.75,127.27,23.02,96,100,6.02
Columbus,1583576015,39.96,-83.0,30.99,68,90,10.29
Petrolina de Goiás,1583576063,-16.09,-49.34,69.8,93,100,1.72
Yinchuan,1583576064,38.47,106.27,62.13,20,5,13.13
Saint-Pierre,1583576064,-21.34,55.48,82.4,78,40,21.34
Palmer,1583576064,42.16,-72.33,37.4,55,90,12.75
Mar del Plata,1583575988,-38.0,-57.56,69.01,100,90,5.82
León,1583575938,21.12,-101.67,46.33,81,68,4.09
Taltal,1583576066,-25.4,-70.48,56.84,89,20,2.91
Konya Province,1583576066,38.17,32.5,53.6,58,0,5.82
Klaksvík,1583576066,62.23,-6.59,35.6,76,100,20.8
Alice Springs,1583576066,-23.7,133.88,84.2,20,0,10.29
San Juan del Sur,1583576067,11.25,-85.87,79.5,78,2,28.63
Pevek,1583575926,69.7,170.31,-12.57,99,17,5.55
Tual,1583576067,-5.67,132.75,78.57,88,100,10.38
Villarrica,1583576067,-25.75,-56.43,66.16,57,0,5.17
Cedar City,1583576068,37.68,-113.06,42.8,48,1,6.93
Thompson,1583576068,55.74,-97.86,-7.6,63,5,11.41
Tiksi,1583576068,71.69,128.87,-3.48,99,100,9.62
Whitianga,1583576068,-36.83,175.7,64.0,75,100,2.75
Butaritari,1583576068,3.07,172.79,84.99,76,100,8.37
Port Hardy,1583576069,50.7,-127.42,32.0,99,75,2.24
Yaan,1583576069,7.38,8.57,91.9,49,27,7.05
La Ciotat,1583576069,43.17,5.6,57.2,50,20,25.28
Callaway,1583576069,30.15,-85.57,48.2,45,1,8.05
Pijijiapan,1583576069,15.7,-93.23,70.39,61,0,5.99
Shiyan,1583576070,32.65,110.78,63.09,49,85,12.03
Bredasdorp,1583576070,-34.53,20.04,86.0,40,0,13.87
Kruisfontein,1583576072,-34.0,24.73,94.32,28,0,10.16
Samarai,1583576072,-10.62,150.67,79.43,85,100,4.9
Avarua,1583576073,-21.21,-159.78,77.0,100,100,2.24
Mishkino,1583576073,55.34,63.92,27.05,69,100,19.95
Pitimbu,1583576073,-7.47,-34.81,78.8,100,40,4.7
Iqaluit,1583576073,63.75,-68.51,-13.0,69,75,4.56
Kaitangata,1583576074,-46.28,169.85,61.0,83,100,1.01
Phuket,1583575855,8.0,98.25,86.0,66,40,9.17
Praia,1583576074,14.92,-23.51,75.2,64,20,11.41
Pangnirtung,1583576074,66.15,-65.71,-25.19,95,100,3.42
Čajniče,1583576075,43.56,19.07,42.8,81,40,9.17
Nokaneng,1583576077,-19.67,22.27,77.38,54,0,10.63
Hithadhoo,1583576077,-0.6,73.08,83.57,64,0,7.58
Grand Gaube,1583576077,-20.01,57.66,82.4,88,90,10.29
Kushiro,1583576077,42.98,144.37,28.4,68,20,4.7
Iskateley,1583576077,67.68,53.15,27.0,92,98,21.92
Stokmarknes,1583576078,68.56,14.91,37.4,74,75,11.41
Sept-Îles,1583576078,50.2,-66.38,8.01,50,5,13.87
Lagoa,1583576078,39.05,-27.98,62.08,92,100,23.49
Nardaran,1583576079,40.56,50.01,53.6,58,100,20.8
Bembèrèkè,1583576079,10.23,2.66,90.28,42,28,2.95
Dabou,1583576079,5.33,-4.38,86.0,74,40,9.17
Atambua,1583576079,-9.11,124.89,78.44,84,100,1.77
Dalvik,1583576079,65.97,-18.53,3.2,84,54,16.11
Kenai,1583576080,60.55,-151.26,17.01,66,90,4.7
Faya,1583576080,18.39,42.45,78.8,12,20,4.7
Biak,1583576080,-0.91,122.88,82.4,70,100,3.96
Tuktoyaktuk,1583576080,69.45,-133.04,-17.34,80,0,10.96
Santiago del Estero,1583576081,-27.8,-64.26,71.24,43,0,7.67
Waipawa,1583576081,-41.41,175.52,62.6,72,100,12.75
Ṭikāpur,1583576081,28.5,81.13,75.54,52,0,3.85
Celestún,1583576081,20.87,-90.4,72.18,76,100,22.41
Arraial do Cabo,1583576081,-22.97,-42.03,73.4,88,40,13.87
Codrington,1583576082,-38.27,141.97,59.95,78,25,19.8
Sanguéya,1583576082,10.7,-14.37,79.57,72,1,3.38
Ginir,1583576082,7.13,40.7,77.49,39,76,8.99
Buala,1583576082,-8.14,159.59,82.08,80,82,6.58
Hamilton,1583575798,39.18,-84.53,34.0,83,90,4.7
Provideniya,1583576083,64.38,-173.3,7.7,69,100,2.26
Cabo San Lucas,1583576083,22.89,-109.91,64.99,52,68,3.0
Valdivia,1583575796,-39.81,-73.25,42.8,100,76,2.57
Kovdor,1583576083,67.57,30.48,22.75,92,8,8.63
Kungsbacka,1583575813,57.49,12.08,43.0,73,61,3.36
Ponta do Sol,1583576084,32.67,-17.1,63.0,63,40,18.34
Souillac,1583576084,-20.52,57.52,82.4,88,90,10.29
Polson,1583576084,47.69,-114.16,37.99,74,20,3.47
San Juan,1583576084,-31.54,-68.54,78.57,42,0,6.06
Launceston,1583576085,-41.45,147.17,57.99,71,40,13.87
Coquimbo,1583576085,-29.95,-71.34,57.2,87,0,2.24
Carnarvon,1583576085,-24.87,113.63,84.2,62,0,16.11
Kysyl-Syr,1583576085,63.9,122.76,8.47,91,100,6.2
Monduli,1583576086,-3.3,36.45,75.2,69,75,3.29
Changli,1583576086,39.7,119.15,48.0,40,0,10.09
Vostok,1583576086,46.49,135.88,24.19,95,100,3.13
Namatanai,1583576086,-3.67,152.43,84.07,76,100,11.45
Aklavik,1583576087,68.22,-135.01,-9.4,57,5,8.05
Paamiut,1583576087,61.99,-49.67,17.24,88,100,13.82
Lorengau,1583576088,-2.02,147.27,85.3,75,100,11.97
Bayan,1583576088,46.08,127.4,28.2,87,100,6.51
Bursa,1583575875,40.17,29.08,62.6,42,0,4.7
Bosaso,1583576088,11.28,49.18,82.4,74,0,14.99
Kapaa,1583576046,22.08,-159.32,73.4,78,40,26.4
Gordeyevka,1583576089,52.96,31.97,50.95,80,100,10.67
San Cristobal,1583576089,7.77,-72.22,51.19,80,38,2.8
Rongcheng,1583576089,30.63,117.85,62.01,92,29,3.44
Mount Isa,1583576021,-20.73,139.5,84.2,35,0,11.41
Ust'-Ishim,1583576089,57.69,71.17,26.29,78,100,15.28
Belyy Yar,1583576090,53.6,91.39,12.2,66,99,11.18
Norman Wells,1583576090,65.28,-126.83,-11.2,76,5,9.17
Yuryuzan',1583576090,54.86,58.42,35.83,42,100,15.55
Kautokeino,1583576091,69.01,23.04,21.56,82,81,3.85
Tasiilaq,1583576091,65.61,-37.64,19.4,48,100,2.24
Tazovsky,1583576091,67.47,78.7,0.1,94,100,22.82
Mezen',1583576091,65.85,44.24,29.44,86,93,17.65
Krasnoborsk,1583576091,61.56,45.93,34.59,77,94,10.98
Mehamn,1583576092,71.04,27.85,30.16,85,100,10.96
Demyansk,1583576092,57.64,32.47,35.24,83,100,8.52
Mahébourg,1583576092,-20.41,57.7,82.4,88,90,10.29
Coolum Beach,1583576092,-26.53,153.1,77.0,92,43,1.99
Laguna,1583576093,38.42,-121.42,53.6,71,1,4.7
Oltina,1583576093,44.17,27.67,64.0,55,0,5.82
Cidreira,1583576093,-30.18,-50.21,71.78,77,100,18.79
Ketchikan,1583575810,55.34,-131.65,35.6,86,1,6.93
Mosquera,1583575861,4.71,-74.23,50.0,87,40,4.7
Talcahuano,1583576094,-36.72,-73.12,59.0,93,75,1.12
Ostrovnoy,1583576094,68.05,39.51,25.21,83,0,25.03
Mount Gambier,1583576094,-37.83,140.77,59.0,67,90,17.22
Ilulissat,1583576094,69.22,-51.1,-0.4,70,100,4.7
Petropavlovsk-Kamchatskiy,1583576095,53.05,158.65,26.6,58,86,2.24
Hwange,1583576095,-18.37,26.5,77.81,53,3,8.25
Pochutla,1583576095,15.74,-96.47,75.0,83,100,9.04
Lima,1583576044,-12.04,-77.03,71.6,88,40,4.7
Sydney,1583576000,-33.87,151.21,68.0,88,75,16.11
Port Hedland,1583576096,-20.32,118.57,89.6,66,1,16.11
Ust-Nera,1583576096,64.57,143.2,-20.63,100,54,0.89
Havøysund,1583576098,71.0,24.66,33.8,100,75,14.99
Forsytheganj,1583576098,52.63,29.73,50.25,86,100,6.46
Ballina,1583576099,-28.87,153.57,71.6,94,90,12.75
Constitución,1583576099,-35.33,-72.42,57.13,75,22,3.69
Quincy,1583575880,42.25,-71.0,33.01,82,75,16.11
Rabo de Peixe,1583576099,37.8,-25.58,62.6,82,75,13.87
Tsirguliina,1583576099,57.86,26.19,37.99,71,100,8.05
Nueva Guinea,1583576100,11.69,-84.46,70.47,97,26,8.52
Oddur,1583576100,4.12,43.89,87.6,44,67,11.14
Impfondo,1583576100,1.64,18.07,72.75,91,100,2.57
Nikita,1583576101,44.53,34.23,50.14,65,100,6.33
Clarksdale,1583576030,34.2,-90.57,39.99,70,0,5.26
Tiarei,1583576101,-17.53,-149.33,80.6,78,20,4.7
South Kazakhstan Region,1583576102,43.0,68.0,37.62,20,0,30.98
Safi,1583576102,32.3,-9.24,57.15,57,0,21.03
Karratha,1583576102,-20.74,116.85,87.35,69,27,15.1
Umluj,1583576102,25.02,37.27,75.67,22,0,11.83
Tessalit,1583576102,20.2,1.01,85.21,6,0,3.33
Dikson,1583576103,73.51,80.55,-10.08,73,100,11.01
Severo-Kuril'sk,1583576103,50.68,156.12,16.68,89,32,11.03
Dārāb,1583575922,28.75,54.54,70.9,16,0,4.63
Kutum,1583576103,14.2,24.67,84.38,10,0,14.36
Port Macquarie,1583576103,-31.43,152.92,72.0,68,90,8.05
Harper,1583576104,4.38,-7.72,83.75,76,72,4.12
Kinel',1583576104,53.23,50.65,32.0,69,100,17.9
Barra do Corda,1583576104,-5.5,-45.25,71.2,97,65,1.01
Taksimo,1583576104,56.34,114.88,9.3,73,98,2.75
Kobryn,1583576105,52.21,24.36,46.4,70,91,4.47
Bull Savanna,1583576105,17.89,-77.59,66.34,88,0,4.5
Madison Heights,1583576062,42.49,-83.11,28.99,73,75,6.93
Sobolevo,1583576106,54.43,31.9,42.6,98,100,5.32
Niquero,1583576106,20.04,-77.58,68.85,90,0,5.86
Yuzhnyy,1583576106,53.25,83.69,8.6,55,100,11.18
Taoudenni,1583576107,22.68,-3.98,83.77,6,0,5.7
Ambon City,1583576026,-3.7,128.18,79.92,83,100,13.09
Beloha,1583576107,-25.17,45.05,82.83,56,55,20.24
Lárdos,1583576107,36.09,28.02,66.2,63,20,5.82
Khandagayty,1583576107,50.73,92.05,15.75,63,100,20.24
Severnyy,1583576108,50.68,36.55,46.4,93,75,11.18
Road Town,1583576054,18.42,-64.62,75.99,78,1,6.93
Vanimo,1583576108,-2.67,141.3,82.08,81,100,17.69
Farnes,1583576108,61.32,7.8,28.4,68,20,16.11
Arman',1583576109,59.7,150.17,-2.11,95,0,2.26
Lokoja,1583576109,7.8,6.74,91.09,50,100,2.06
Tocopilla,1583576109,-22.09,-70.2,52.93,40,0,3.76
Bodden Town,1583576109,19.28,-81.25,78.01,85,0,5.01
San Rafael del Sur,1583576109,11.85,-86.44,77.0,83,40,6.93
Yangi Marg`ilon,1583576110,40.43,71.72,48.2,65,75,11.03
Kalat,1583576110,29.02,66.59,50.9,15,0,14.99
Salalah,1583576110,17.02,54.09,80.6,47,20,9.17
Ashoknagar,1583576110,24.57,77.72,81.61,17,0,11.59
Tezu,1583576110,27.92,96.17,76.93,44,99,4.07
Krasnoarmeyskoye,1583576111,52.72,50.03,29.3,70,97,15.35
Los Llanos de Aridane,1583576111,28.66,-17.92,66.2,55,75,12.75
Kandrian,1583576111,-6.22,149.55,79.23,81,100,7.9
Fare,1583576111,-16.7,-151.02,83.41,72,91,6.44
